number_of_detector,x,y,z
1,0,4.65,4.65
2,0,4.65,4.65
3,0,4.65,4.65
4,0,4.65,4.65
5,0,4.65,4.65
6,0,4.65,4.65
7,0,4.65,4.65
8,0,4.65,4.65
9,0,4.65,4.65
10,0,4.65,4.65
11,0,4.65,4.65
12,0,4.65,4.65
13,0,4.65,4.65
14,0,4.65,4.65
15,0,4.65,4.65
16,0,4.65,4.65
17,0,4.65,4.65
18,0,4.65,4.65
19,0,4.65,4.65
20,0,4.65,4.65
21,0,4.65,4.65
22,0,95.9,4.65
23,0,95.9,4.65
24,0,95.9,4.65
25,0,95.9,4.65
26,0,95.9,4.65
27,0,95.9,4.65
28,0,95.9,4.65
29,0,95.9,4.65
30,0,95.9,4.65
31,0,95.9,4.65
32,0,95.9,4.65
33,0,95.9,4.65
34,0,95.9,4.65
35,0,95.9,4.65
36,0,95.9,4.65
37,0,95.9,4.65
38,0,95.9,4.65
39,0,95.9,4.65
40,0,95.9,4.65
41,0,95.9,4.65
42,0,95.9,4.65
43,0,187.15,4.65
44,0,187.15,4.65
45,0,187.15,4.65
46,0,187.15,4.65
47,0,187.15,4.65
48,0,187.15,4.65
49,0,187.15,4.65
50,0,187.15,4.65
51,0,187.15,4.65
52,0,187.15,4.65
53,0,187.15,4.65
54,0,187.15,4.65
55,0,187.15,4.65
56,0,187.15,4.65
57,0,187.15,4.65
58,0,187.15,4.65
59,0,187.15,4.65
60,0,187.15,4.65
61,0,187.15,4.65
62,0,187.15,4.65
63,0,187.15,4.65
64,0,4.65,304.65
65,0,4.65,304.65
66,0,4.65,304.65
67,0,4.65,304.65
68,0,4.65,304.65
69,0,4.65,304.65
70,0,4.65,304.65
71,0,4.65,304.65
72,0,4.65,304.65
73,0,4.65,304.65
74,0,4.65,304.65
75,0,4.65,304.65
76,0,4.65,304.65
77,0,4.65,304.65
78,0,4.65,304.65
79,0,4.65,304.65
80,0,4.65,304.65
81,0,4.65,304.65
82,0,4.65,304.65
83,0,4.65,304.65
84,0,4.65,304.65
85,0,95.9,304.65
86,0,95.9,304.65
87,0,95.9,304.65
88,0,95.9,304.65
89,0,95.9,304.65
90,0,95.9,304.65
91,0,95.9,304.65
92,0,95.9,304.65
93,0,95.9,304.65
94,0,95.9,304.65
95,0,95.9,304.65
96,0,95.9,304.65
97,0,95.9,304.65
98,0,95.9,304.65
99,0,95.9,304.65
100,0,95.9,304.65
101,0,95.9,304.65
102,0,95.9,304.65
103,0,95.9,304.65
104,0,95.9,304.65
105,0,95.9,304.65
106,0,187.15,304.65
107,0,187.15,304.65
108,0,187.15,304.65
109,0,187.15,304.65
110,0,187.15,304.65
111,0,187.15,304.65
112,0,187.15,304.65
113,0,187.15,304.65
114,0,187.15,304.65
115,0,187.15,304.65
116,0,187.15,304.65
117,0,187.15,304.65
118,0,187.15,304.65
119,0,187.15,304.65
120,0,187.15,304.65
121,0,187.15,304.65
122,0,187.15,304.65
123,0,187.15,304.65
124,0,187.15,304.65
125,0,187.15,304.65
126,0,187.15,304.65
127,0,4.65,604.65
128,0,4.65,604.65
129,0,4.65,604.65
130,0,4.65,604.65
131,0,4.65,604.65
132,0,4.65,604.65
133,0,4.65,604.65
134,0,4.65,604.65
135,0,4.65,604.65
136,0,4.65,604.65
137,0,4.65,604.65
138,0,4.65,604.65
139,0,4.65,604.65
140,0,4.65,604.65
141,0,4.65,604.65
142,0,4.65,604.65
143,0,4.65,604.65
144,0,4.65,604.65
145,0,4.65,604.65
146,0,4.65,604.65
147,0,4.65,604.65
148,0,95.9,604.65
149,0,95.9,604.65
150,0,95.9,604.65
151,0,95.9,604.65
152,0,95.9,604.65
153,0,95.9,604.65
154,0,95.9,604.65
155,0,95.9,604.65
156,0,95.9,604.65
157,0,95.9,604.65
158,0,95.9,604.65
159,0,95.9,604.65
160,0,95.9,604.65
161,0,95.9,604.65
162,0,95.9,604.65
163,0,95.9,604.65
164,0,95.9,604.65
165,0,95.9,604.65
166,0,95.9,604.65
167,0,95.9,604.65
168,0,95.9,604.65
169,0,187.15,604.65
170,0,187.15,604.65
171,0,187.15,604.65
172,0,187.15,604.65
173,0,187.15,604.65
174,0,187.15,604.65
175,0,187.15,604.65
176,0,187.15,604.65
177,0,187.15,604.65
178,0,187.15,604.65
179,0,187.15,604.65
180,0,187.15,604.65
181,0,187.15,604.65
182,0,187.15,604.65
183,0,187.15,604.65
184,0,187.15,604.65
185,0,187.15,604.65
186,0,187.15,604.65
187,0,187.15,604.65
188,0,187.15,604.65
189,0,187.15,604.65
190,-700.0,-177.85,-595.35
191,-700.0,-177.85,-595.35
192,-700.0,-177.85,-595.35
193,-700.0,-177.85,-595.35
194,-700.0,-177.85,-595.35
195,-700.0,-177.85,-595.35
196,-700.0,-177.85,-595.35
197,-700.0,-177.85,-595.35
198,-700.0,-177.85,-595.35
199,-700.0,-177.85,-595.35
200,-700.0,-177.85,-595.35
201,-700.0,-177.85,-595.35
202,-700.0,-177.85,-595.35
203,-700.0,-177.85,-595.35
204,-700.0,-177.85,-595.35
205,-700.0,-177.85,-595.35
206,-700.0,-177.85,-595.35
207,-700.0,-177.85,-595.35
208,-700.0,-177.85,-595.35
209,-700.0,-177.85,-595.35
210,-700.0,-177.85,-595.35
211,-700.0,-86.6,-595.35
212,-700.0,-86.6,-595.35
213,-700.0,-86.6,-595.35
214,-700.0,-86.6,-595.35
215,-700.0,-86.6,-595.35
216,-700.0,-86.6,-595.35
217,-700.0,-86.6,-595.35
218,-700.0,-86.6,-595.35
219,-700.0,-86.6,-595.35
220,-700.0,-86.6,-595.35
221,-700.0,-86.6,-595.35
222,-700.0,-86.6,-595.35
223,-700.0,-86.6,-595.35
224,-700.0,-86.6,-595.35
225,-700.0,-86.6,-595.35
226,-700.0,-86.6,-595.35
227,-700.0,-86.6,-595.35
228,-700.0,-86.6,-595.35
229,-700.0,-86.6,-595.35
230,-700.0,-86.6,-595.35
231,-700.0,-86.6,-595.35
232,-700.0,4.650000000000006,-595.35
233,-700.0,4.650000000000006,-595.35
234,-700.0,4.650000000000006,-595.35
235,-700.0,4.650000000000006,-595.35
236,-700.0,4.650000000000006,-595.35
237,-700.0,4.650000000000006,-595.35
238,-700.0,4.650000000000006,-595.35
239,-700.0,4.650000000000006,-595.35
240,-700.0,4.650000000000006,-595.35
241,-700.0,4.650000000000006,-595.35
242,-700.0,4.650000000000006,-595.35
243,-700.0,4.650000000000006,-595.35
244,-700.0,4.650000000000006,-595.35
245,-700.0,4.650000000000006,-595.35
246,-700.0,4.650000000000006,-595.35
247,-700.0,4.650000000000006,-595.35
248,-700.0,4.650000000000006,-595.35
249,-700.0,4.650000000000006,-595.35
250,-700.0,4.650000000000006,-595.35
251,-700.0,4.650000000000006,-595.35
252,-700.0,4.650000000000006,-595.35
253,-700.0,-177.85,-295.35
254,-700.0,-177.85,-295.35
255,-700.0,-177.85,-295.35
256,-700.0,-177.85,-295.35
257,-700.0,-177.85,-295.35
258,-700.0,-177.85,-295.35
259,-700.0,-177.85,-295.35
260,-700.0,-177.85,-295.35
261,-700.0,-177.85,-295.35
262,-700.0,-177.85,-295.35
263,-700.0,-177.85,-295.35
264,-700.0,-177.85,-295.35
265,-700.0,-177.85,-295.35
266,-700.0,-177.85,-295.35
267,-700.0,-177.85,-295.35
268,-700.0,-177.85,-295.35
269,-700.0,-177.85,-295.35
270,-700.0,-177.85,-295.35
271,-700.0,-177.85,-295.35
272,-700.0,-177.85,-295.35
273,-700.0,-177.85,-295.35
274,-700.0,-86.6,-295.35
275,-700.0,-86.6,-295.35
276,-700.0,-86.6,-295.35
277,-700.0,-86.6,-295.35
278,-700.0,-86.6,-295.35
279,-700.0,-86.6,-295.35
280,-700.0,-86.6,-295.35
281,-700.0,-86.6,-295.35
282,-700.0,-86.6,-295.35
283,-700.0,-86.6,-295.35
284,-700.0,-86.6,-295.35
285,-700.0,-86.6,-295.35
286,-700.0,-86.6,-295.35
287,-700.0,-86.6,-295.35
288,-700.0,-86.6,-295.35
289,-700.0,-86.6,-295.35
290,-700.0,-86.6,-295.35
291,-700.0,-86.6,-295.35
292,-700.0,-86.6,-295.35
293,-700.0,-86.6,-295.35
294,-700.0,-86.6,-295.35
295,-700.0,4.650000000000006,-295.35
296,-700.0,4.650000000000006,-295.35
297,-700.0,4.650000000000006,-295.35
298,-700.0,4.650000000000006,-295.35
299,-700.0,4.650000000000006,-295.35
300,-700.0,4.650000000000006,-295.35
301,-700.0,4.650000000000006,-295.35
302,-700.0,4.650000000000006,-295.35
303,-700.0,4.650000000000006,-295.35
304,-700.0,4.650000000000006,-295.35
305,-700.0,4.650000000000006,-295.35
306,-700.0,4.650000000000006,-295.35
307,-700.0,4.650000000000006,-295.35
308,-700.0,4.650000000000006,-295.35
309,-700.0,4.650000000000006,-295.35
310,-700.0,4.650000000000006,-295.35
311,-700.0,4.650000000000006,-295.35
312,-700.0,4.650000000000006,-295.35
313,-700.0,4.650000000000006,-295.35
314,-700.0,4.650000000000006,-295.35
315,-700.0,4.650000000000006,-295.35
316,-700.0,-177.85,4.649999999999977
317,-700.0,-177.85,4.649999999999977
318,-700.0,-177.85,4.649999999999977
319,-700.0,-177.85,4.649999999999977
320,-700.0,-177.85,4.649999999999977
321,-700.0,-177.85,4.649999999999977
322,-700.0,-177.85,4.649999999999977
323,-700.0,-177.85,4.649999999999977
324,-700.0,-177.85,4.649999999999977
325,-700.0,-177.85,4.649999999999977
326,-700.0,-177.85,4.649999999999977
327,-700.0,-177.85,4.649999999999977
328,-700.0,-177.85,4.649999999999977
329,-700.0,-177.85,4.649999999999977
330,-700.0,-177.85,4.649999999999977
331,-700.0,-177.85,4.649999999999977
332,-700.0,-177.85,4.649999999999977
333,-700.0,-177.85,4.649999999999977
334,-700.0,-177.85,4.649999999999977
335,-700.0,-177.85,4.649999999999977
336,-700.0,-177.85,4.649999999999977
337,-700.0,-86.6,4.649999999999977
338,-700.0,-86.6,4.649999999999977
339,-700.0,-86.6,4.649999999999977
340,-700.0,-86.6,4.649999999999977
341,-700.0,-86.6,4.649999999999977
342,-700.0,-86.6,4.649999999999977
343,-700.0,-86.6,4.649999999999977
344,-700.0,-86.6,4.649999999999977
345,-700.0,-86.6,4.649999999999977
346,-700.0,-86.6,4.649999999999977
347,-700.0,-86.6,4.649999999999977
348,-700.0,-86.6,4.649999999999977
349,-700.0,-86.6,4.649999999999977
350,-700.0,-86.6,4.649999999999977
351,-700.0,-86.6,4.649999999999977
352,-700.0,-86.6,4.649999999999977
353,-700.0,-86.6,4.649999999999977
354,-700.0,-86.6,4.649999999999977
355,-700.0,-86.6,4.649999999999977
356,-700.0,-86.6,4.649999999999977
357,-700.0,-86.6,4.649999999999977
358,-700.0,4.650000000000006,4.649999999999977
359,-700.0,4.650000000000006,4.649999999999977
360,-700.0,4.650000000000006,4.649999999999977
361,-700.0,4.650000000000006,4.649999999999977
362,-700.0,4.650000000000006,4.649999999999977
363,-700.0,4.650000000000006,4.649999999999977
364,-700.0,4.650000000000006,4.649999999999977
365,-700.0,4.650000000000006,4.649999999999977
366,-700.0,4.650000000000006,4.649999999999977
367,-700.0,4.650000000000006,4.649999999999977
368,-700.0,4.650000000000006,4.649999999999977
369,-700.0,4.650000000000006,4.649999999999977
370,-700.0,4.650000000000006,4.649999999999977
