number_of_detector,x,y,z
1,20,4.65,4.65
2,40,4.65,4.65
3,60,4.65,4.65
4,80,4.65,4.65
5,100,4.65,4.65
6,120,4.65,4.65
7,140,4.65,4.65
8,160,4.65,4.65
9,180,4.65,4.65
10,200,4.65,4.65
11,220,4.65,4.65
12,240,4.65,4.65
13,260,4.65,4.65
14,280,4.65,4.65
15,300,4.65,4.65
16,320,4.65,4.65
17,340,4.65,4.65
18,360,4.65,4.65
19,380,4.65,4.65
20,400,4.65,4.65
21,20,95.9,4.65
22,40,95.9,4.65
23,60,95.9,4.65
24,80,95.9,4.65
25,100,95.9,4.65
26,120,95.9,4.65
27,140,95.9,4.65
28,160,95.9,4.65
29,180,95.9,4.65
30,200,95.9,4.65
31,220,95.9,4.65
32,240,95.9,4.65
33,260,95.9,4.65
34,280,95.9,4.65
35,300,95.9,4.65
36,320,95.9,4.65
37,340,95.9,4.65
38,360,95.9,4.65
39,380,95.9,4.65
40,400,95.9,4.65
41,20,187.15,4.65
42,40,187.15,4.65
43,60,187.15,4.65
44,80,187.15,4.65
45,100,187.15,4.65
46,120,187.15,4.65
47,140,187.15,4.65
48,160,187.15,4.65
49,180,187.15,4.65
50,200,187.15,4.65
51,220,187.15,4.65
52,240,187.15,4.65
53,260,187.15,4.65
54,280,187.15,4.65
55,300,187.15,4.65
56,320,187.15,4.65
57,340,187.15,4.65
58,360,187.15,4.65
59,380,187.15,4.65
60,400,187.15,4.65
61,20,4.65,304.65
62,40,4.65,304.65
63,60,4.65,304.65
64,80,4.65,304.65
65,100,4.65,304.65
66,120,4.65,304.65
67,140,4.65,304.65
68,160,4.65,304.65
69,180,4.65,304.65
70,200,4.65,304.65
71,220,4.65,304.65
72,240,4.65,304.65
73,260,4.65,304.65
74,280,4.65,304.65
75,300,4.65,304.65
76,320,4.65,304.65
77,340,4.65,304.65
78,360,4.65,304.65
79,380,4.65,304.65
80,400,4.65,304.65
81,20,95.9,304.65
82,40,95.9,304.65
83,60,95.9,304.65
84,80,95.9,304.65
85,100,95.9,304.65
86,120,95.9,304.65
87,140,95.9,304.65
88,160,95.9,304.65
89,180,95.9,304.65
90,200,95.9,304.65
91,220,95.9,304.65
92,240,95.9,304.65
93,260,95.9,304.65
94,280,95.9,304.65
95,300,95.9,304.65
96,320,95.9,304.65
97,340,95.9,304.65
98,360,95.9,304.65
99,380,95.9,304.65
100,400,95.9,304.65
101,20,187.15,304.65
102,40,187.15,304.65
103,60,187.15,304.65
104,80,187.15,304.65
105,100,187.15,304.65
106,120,187.15,304.65
107,140,187.15,304.65
108,160,187.15,304.65
109,180,187.15,304.65
110,200,187.15,304.65
111,220,187.15,304.65
112,240,187.15,304.65
113,260,187.15,304.65
114,280,187.15,304.65
115,300,187.15,304.65
116,320,187.15,304.65
117,340,187.15,304.65
118,360,187.15,304.65
119,380,187.15,304.65
120,400,187.15,304.65
121,20,4.65,604.65
122,40,4.65,604.65
123,60,4.65,604.65
124,80,4.65,604.65
125,100,4.65,604.65
126,120,4.65,604.65
127,140,4.65,604.65
128,160,4.65,604.65
129,180,4.65,604.65
130,200,4.65,604.65
131,220,4.65,604.65
132,240,4.65,604.65
133,260,4.65,604.65
134,280,4.65,604.65
135,300,4.65,604.65
136,320,4.65,604.65
137,340,4.65,604.65
138,360,4.65,604.65
139,380,4.65,604.65
140,400,4.65,604.65
141,20,95.9,604.65
142,40,95.9,604.65
143,60,95.9,604.65
144,80,95.9,604.65
145,100,95.9,604.65
146,120,95.9,604.65
147,140,95.9,604.65
148,160,95.9,604.65
149,180,95.9,604.65
150,200,95.9,604.65
151,220,95.9,604.65
152,240,95.9,604.65
153,260,95.9,604.65
154,280,95.9,604.65
155,300,95.9,604.65
156,320,95.9,604.65
157,340,95.9,604.65
158,360,95.9,604.65
159,380,95.9,604.65
160,400,95.9,604.65
161,20,187.15,604.65
162,40,187.15,604.65
163,60,187.15,604.65
164,80,187.15,604.65
165,100,187.15,604.65
166,120,187.15,604.65
167,140,187.15,604.65
168,160,187.15,604.65
169,180,187.15,604.65
